contract_key_canon,source,source_record_id,source_dataset,buyer_name,buyer_id,supplier_name,supplier_id,contract_title,procedure,publication_date,award_date,estimated_value_eur,awarded_value_eur,cpv_codes_raw,cpv_code_list,source_file
201230050DIRECCIONGENERALDEFERROCARRILES20140103,boe,BOE-B-2014-208,boe_2014_2024,Dirección General de Ferrocarriles.,MINISTERIO DE FOMENTO,"Prointec, S.A.",,"Contrato de Servicios para la redacción del ""Proyecto constructivo: acceso ferroviario al Puerto exterior de Ferrol"".",Abierto,2014-01-03 00:00:00,,1040000.0,809528.72,71311000 (Servicios de consultoría en ingeniería civil).,['71000000' '71311000'],boe_sample.csv
30130/1351MA0105DIRECCIONGENERALDECARRETERAS20140103,boe,BOE-B-2014-211,boe_2014_2024,Dirección General de Carreteras.,MINISTERIO DE FOMENTO,No disponible,,Ejecución de diversas operaciones de conservación y explotación en el sector MA-1. Provincia de Málaga. Ponderación técnica: 30. Ponderación económica: 70.,Abierto,2014-01-03 00:00:00,,21548407.84,,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
30137/13251GI0203DIRECCIONGENERALDECARRETERAS20140103,boe,BOE-B-2014-212,boe_2014_2024,Dirección General de Carreteras.,MINISTERIO DE FOMENTO,No disponible,,Ejecución de diversas operaciones de conservación y explotación en el sector GI-2. Provincia de Girona. Ponderación técnica: 30. Ponderación económica: 70.,Abierto,2014-01-03 00:00:00,,13873085.13,,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
30124/13251GR0305DIRECCIONGENERALDECARRETERAS20140103,boe,BOE-B-2014-213,boe_2014_2024,Dirección General de Carreteras.,MINISTERIO DE FOMENTO,No disponible,,Ejecución de diversas operaciones de conservación y explotación en los sectores GR-3 y GR-1. Provincia de Granada. Ponderación técnica: 30. Ponderación económica: 70.,Abierto,2014-01-03 00:00:00,,13740279.44,,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
89002013008PRESIDENCIADELACONFEDERACIONHIDROGRAFICADELSEGURA20140111,boe,BOE-B-2014-740,boe_2014_2024,Presidencia de la Confederación Hidrográfica del Segura,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE","Grusamar, Ingeniería y Consulting, S.L.",,"Pliego de bases 02/13 del contrato de servicios de apoyo para la ejecución del expediente de deslinde del Dominio Público Hidráulico de un tramo de la rambla de Biznaga, desde el punto de coordenadas X=614.797;"" Y=4.162.902, hasta su desembocadura en el río Guadalentín, ambas márgenes. Término municipal de Lorca. Murcia.",Abierto,2014-01-11 00:00:00,,468205.08,228858.64,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
C/0096/S/13/6JEFATURADEASUNTOSECONOMICOSDELAGUARDIACIVIL20140113,boe,BOE-B-2014-848,boe_2014_2024,Jefatura de Asuntos Económicos de la Guardia Civil.,MINISTERIO DEL INTERIOR,No disponible,,"Contratación de las obras de terminación del cuartel de la Guardia Civil en Las Cabezas de San Juan (Sevilla), avenida Miguel Hernández s/n, según proyecto redactado por el arquitecto Hilario Calvo, colegiado número 5064, del Colegio Oficial de Arquitectos de Sevilla.",Abierto,2014-01-13 00:00:00,,291550.81,,"71000000 (Servicios de arquitectura, construcción, ingeniería e inspección).",['45000000' '71000000'],boe_sample.csv
9/1713PRESIDENCIADELACONFEDERACIONHIDROGRAFICADELGUADIANA20140116,boe,BOE-B-2014-1231,boe_2014_2024,Presidencia de la Confederación Hidrográfica del Guadiana.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE","Ambisat Ingeniería Ambiental, S.L.",,Estudio general sobre la demarcación y del esquema de temas importantes en la demarcación Hidrográfica del Guadiana.,Abierto,2014-01-16 00:00:00,,150059.0,110268.69,"71000000 (Servicios de arquitectura, construcción, ingeniería e inspección).",['71000000'],boe_sample.csv
90/13/01JUNTADECONTRATACIONDELMINISTERIODEHACIENDAYADMINISTRACIONESPUBLICAS20140128,boe,BOE-B-2014-2761,boe_2014_2024,Junta de Contratación del Ministerio de Hacienda y Administraciones Públicas.,MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS,No disponible,,"Asistencia técnica para la realización de estudio goetécnico, estudio estructural, consultoría energética, redacción del proyecto básico y de ejecución de rehabilitación integral del inmueble de c/ Doctores Castroviejo, 9, en Logroño y dirección facultativa durante ejecución de la obra.",Abierto,2014-01-28 00:00:00,,110000.0,,"71000000 (Servicios de arquitectura, construcción, ingeniería e inspección).",['71000000'],boe_sample.csv
V12/1216COMITEEJECUTIVODELAMANCOMUNIDADDELOSCANALESDELTAIBILLA20140204,boe,BOE-B-2014-3819,boe_2014_2024,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE","Grusamar Ingeniería y Consulting, S.L.",,"Servicio de redacción de proyectos y gestión de obras, servicios y suministros, para el área de explotación de la Mancomunidad de los Canales del Taibilla (Va/Varios).",Abierto,2014-02-04 00:00:00,,785768.71,526256.81,71310000 (Servicios de consultoría en ingeniería y construcción).,['71000000' '71310000'],boe_sample.csv
V02/1303COMITEEJECUTIVODELAMANCOMUNIDADDELOSCANALESDELTAIBILLA20140204,boe,BOE-B-2014-3822,boe_2014_2024,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE","Saitec, S.A.",,"Servicio de supervisión, control y vigilancia de las obras de control centralizado de instalación de fibra óptica y nuevas instalaciones de telecontrol en la Zona 4.ª (Mu/Varios).",Abierto,2014-02-04 00:00:00,,275495.47,266679.62,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
