contract_id,notice_id,institution,buyer_name,file_number,publication_date,publication_year,record_type,contract_nature,object,procedure,region,cpv_subjects,cpv_codes_raw,cpv_code_list,is_cpv_71,estimated_value_raw,estimated_value_eur,awarded_value_raw,awarded_value_eur,supplier_name,source_url,source_file,source_line,raw_field_count,repaired_columns,parser_warning
BOE-B-2014-208,BOE-B-2014-208,MINISTERIO DE FOMENTO,Dirección General de Ferrocarriles.,201230050.,2014-01-03,2014,Contratación,Servicios,"Contrato de Servicios para la redacción del ""Proyecto constructivo: acceso ferroviario al Puerto exterior de Ferrol"".",Abierto,Galicia,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311000 (Servicios de consultoría en ingeniería civil).,"['71000000', '71311000']",True,"1.040.000,00 euros",1040000.0,"809.528,72 euros",809528.72,"Prointec, S.A.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-208,boe_sample.csv,2,15,False,
BOE-B-2014-211,BOE-B-2014-211,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.130/13;"" 51-MA-0105.",2014-01-03,2014,Licitación,Servicios,Ejecución de diversas operaciones de conservación y explotación en el sector MA-1. Provincia de Málaga. Ponderación técnica: 30. Ponderación económica: 70.,Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"21.548.407,84 euros",21548407.84,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-211,boe_sample.csv,3,15,False,
BOE-B-2014-212,BOE-B-2014-212,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.137/13-2;"" 51-GI-0203.",2014-01-03,2014,Licitación,Servicios,Ejecución de diversas operaciones de conservación y explotación en el sector GI-2. Provincia de Girona. Ponderación técnica: 30. Ponderación económica: 70.,Abierto,Cataluña,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"13.873.085,13 euros",13873085.13,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-212,boe_sample.csv,4,15,False,
BOE-B-2014-213,BOE-B-2014-213,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.124/13-2;"" 51-GR-0305.",2014-01-03,2014,Licitación,Servicios,Ejecución de diversas operaciones de conservación y explotación en los sectores GR-3 y GR-1. Provincia de Granada. Ponderación técnica: 30. Ponderación económica: 70.,Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"13.740.279,44 euros",13740279.44,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-213,boe_sample.csv,5,15,False,
BOE-B-2014-740,BOE-B-2014-740,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Presidencia de la Confederación Hidrográfica del Segura,89.0020.13.008.,2014-01-11,2014,Contratación,Servicios,"Pliego de bases 02/13 del contrato de servicios de apoyo para la ejecución del expediente de deslinde del Dominio Público Hidráulico de un tramo de la rambla de Biznaga, desde el punto de coordenadas X=614.797;"" Y=4.162.902, hasta su desembocadura en el río Guadalentín, ambas márgenes. Término municipal de Lorca. Murcia.",Abierto,Región de Murcia,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"468.205,08 euros",468205.08,"228.858,64 euros",228858.64,"Grusamar, Ingeniería y Consulting, S.L.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-740,boe_sample.csv,6,18,True,reparada_desde_18_campos
BOE-B-2014-848,BOE-B-2014-848,MINISTERIO DEL INTERIOR,Jefatura de Asuntos Económicos de la Guardia Civil.,C/0096/S/13/6.,2014-01-13,2014,Licitación,Obras,"Contratación de las obras de terminación del cuartel de la Guardia Civil en Las Cabezas de San Juan (Sevilla), avenida Miguel Hernández s/n, según proyecto redactado por el arquitecto Hilario Calvo, colegiado número 5064, del Colegio Oficial de Arquitectos de Sevilla.",Abierto,Andalucía,"45000000 Trabajos de construcción 71000000 Servicios de arquitectura, construcción, ingeniería e inspección","71000000 (Servicios de arquitectura, construcción, ingeniería e inspección).","['45000000', '71000000']",True,"291.550,81 euros",291550.81,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-848,boe_sample.csv,7,15,False,
BOE-B-2014-1231,BOE-B-2014-1231,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Presidencia de la Confederación Hidrográfica del Guadiana.,9/17-13.,2014-01-16,2014,Contratación,Servicios,Estudio general sobre la demarcación y del esquema de temas importantes en la demarcación Hidrográfica del Guadiana.,Abierto,Extremadura,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","71000000 (Servicios de arquitectura, construcción, ingeniería e inspección).",['71000000'],True,"150.059,00 euros",150059.0,"110.268,69 euros",110268.69,"Ambisat Ingeniería Ambiental, S.L.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-1231,boe_sample.csv,8,16,True,reparada_desde_16_campos
BOE-B-2014-2761,BOE-B-2014-2761,MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS,Junta de Contratación del Ministerio de Hacienda y Administraciones Públicas.,90/13/01.,2014-01-28,2014,Licitación,Servicios,"Asistencia técnica para la realización de estudio goetécnico, estudio estructural, consultoría energética, redacción del proyecto básico y de ejecución de rehabilitación integral del inmueble de c/ Doctores Castroviejo, 9, en Logroño y dirección facultativa durante ejecución de la obra.",Abierto,La Rioja,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","71000000 (Servicios de arquitectura, construcción, ingeniería e inspección).",['71000000'],True,"110.000,00 euros",110000.0,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-2761,boe_sample.csv,9,15,False,
BOE-B-2014-3819,BOE-B-2014-3819,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,V-12/12-16.,2014-02-04,2014,Contratación,Servicios,"Servicio de redacción de proyectos y gestión de obras, servicios y suministros, para el área de explotación de la Mancomunidad de los Canales del Taibilla (Va/Varios).",Abierto,Región de Murcia,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71310000 (Servicios de consultoría en ingeniería y construcción).,"['71000000', '71310000']",True,"785.768,71 euros",785768.71,"526.256,81 euros",526256.81,"Grusamar Ingeniería y Consulting, S.L.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-3819,boe_sample.csv,10,16,True,reparada_desde_16_campos
BOE-B-2014-3822,BOE-B-2014-3822,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,V-02/13-03.,2014-02-04,2014,Contratación,Servicios,"Servicio de supervisión, control y vigilancia de las obras de control centralizado de instalación de fibra óptica y nuevas instalaciones de telecontrol en la Zona 4.ª (Mu/Varios).",Abierto,Región de Murcia,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"275.495,47 euros",275495.47,"266.679,62 euros",266679.62,"Saitec, S.A.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-3822,boe_sample.csv,11,16,True,reparada_desde_16_campos
